"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight","product_name_bg"
"294297","1744","36000550000003000240","BARA ALAMA D55X3000 MM CUZN39PB3 R360","{56}","3000",,,"55",,"CUZN39PB3 R360","","KG","ML","20.089300","BRASS ROUND BARS D55X3000 MM CUZN39PB3 R360","KG","y","МЕСИНГОВИ КРЪГЛИ ПРЪТИ D55X3000 MM CUZN39PB3 R360","y","",,,"МЕСИНГОВИ КРЪГЛИ ПРЪТИ D55X3000 MM CUZN39PB3 R360"
"295187","2634","48000150000003002040","BARA BRONZ D15X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"15",,"CUSN7ZN4PB7-C-GC","","KG","ML","1.572000","BRONZE ROUND BARS D15X3000 MM CUSN7ZN4PB7-C-GC","KG","y","БРОНЗОВИ КРЪГЛИ ПРЪТИ D15X3000 MM CUSN7ZN4PB7-C-GC","y","",,,"БРОНЗОВИ КРЪГЛИ ПРЪТИ D15X3000 MM CUSN7ZN4PB7-C-GC"
"294182","1629","36000140004003000240","BARA PATRATA ALAMA 14X14X3000 MM CUZN39PB3 R430","{59}","3000","14",,,,"CUZN39PB3 R430","","KG","ML","1.658200","BRASS SQUARE BARS 14X14X3000 MM CUZN39PB3 R430","KG","y","МЕСИНГОВИ КВАДРАТНИ ПРЪТИ 14X14X3000 MM CUZN39PB3 R430 ","n","",,,"МЕСИНГОВИ КВАДРАТНИ ПРЪТИ 14X14X3000 MM CUZN39PB3 R430 "
"293126","573","12606102540PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 25.4 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 25.4 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 25.4 MM"
"292870","317","120PT508305515203020","TABLA ALUMINIU TURNATA 5083 55 MM","{26}",,,"55.00",,,"5083","","KG","BUC","1.000000","CAST AL PLATE 5083 55 MM","KG","y","ЛЯТА АЛ. ПЛОЧА 5083 55 MM","y","PT5083",,,"ЛЯТА АЛ. ПЛОЧА 5083 55 MM"
"294241","1688","36000280000003000240","BARA ALAMA  D28X3000 MM CUZN39PB3 R430","{56}","3000",,,"28",,"CUZN39PB3 R430","","KG","ML","5.206600","BRASS ROUND BARS D28X3000 MM CUZN39PB3 R430","KG","y","МЕСИНГОВИ КРЪГЛИ ПРЪТИ D28X3000 MM CUZN39PB3 R430","y","",,,"МЕСИНГОВИ КРЪГЛИ ПРЪТИ D28X3000 MM CUZN39PB3 R430"
"293129","576","12606102857PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 28.57 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 28.57 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 28.57 MM"
"294578","2025","42103001000200000240","TABLA CUPRU CU-DHP  R240 1/2 T3X1000X2000 MM","{67}","2000","1000","3.00",,,"CU-DHP R240","","KG","БРОЙ","53.640000","COPPER SHEETS CU-DHP R240 3X1000X2000 MM","KG","y","МЕДНИ ЛАМАРИНИ CU-DHP R240 3X1000X2000 MM","n","",,,"МЕДНИ ЛАМАРИНИ CU-DHP R240 3X1000X2000 MM"
"293131","578","12606103000PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 30 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 30 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 30 MM"
"293971","1418","32200801000200000KME","TABLA ALAMA CUZN37 R350 0.8x1000x2000 MM","{54}","2000","1000","0.80",,,"CUZN37 R350","","KG","BUC","13.552000","BRASS SHEETS CUZN37 R350 0.8X1000X2000 MM","KG","y","МЕСИНГОВИ ЛАМАРИНИ CUZN37 R350 0.8X1000X2000 MM","n","",,,"МЕСИНГОВИ ЛАМАРИНИ CUZN37 R350 0.8X1000X2000 MM"
"293133","580","12606103175PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 31.75 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 31.75 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 31.75 MM"
"292763","210","120PP50830451520302G","TABLA ALUMINIU DE PRECIZIE 5083 45 MM","{25}",,,"45.00",,,"5083","","KG","БРОЙ","1.000000","PREC. MACH. CAST AL PLATE 5083 45 MM","KG","y","ПРЕЦИЗ. ОБРАБ. ЛЯТА АЛ. ПЛОЧА 5083 45 MM","y","PP5083",,,"ПРЕЦИЗ. ОБРАБ. ЛЯТА АЛ. ПЛОЧА 5083 45 MM"
"293135","582","12606103500PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 35 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 35 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 35 MM"
"295259","2706","48000510000003002140","BARA BRONZ D51X3000 MM  CUSN12","{7}","3000",,,"51",,"CUSN12","","KG","ML","18.171900","BRONZE ROUND BARS D51X3000 MM CUSN12-C","KG","y","БРОНЗОВИ КРЪГЛИ ПРЪТИ D51X3000 MM CUSN12-C","y","",,,"БРОНЗОВИ КРЪГЛИ ПРЪТИ D51X3000 MM CUSN12-C"
"293137","584","12606103810PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T65138.1 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 38.1 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 38.1 MM"
"295443","2890","12606101270152030200","TABLA ALUMINIU 6061 T651 12.7 MM","{27}",,,"12.70",,,"EN AW 6061 T651","","KG","БРОЙ","1.000000","AL. PLATES 6061 T651 12,7X1520X3020 MM - AMS","KG","y","АЛ. ПЛОЧИ 6061 T651 12,7 MM","y","6061",,,"АЛ. ПЛОЧИ 6061 T651 12,7 MM"
"293139","586","12606104000PF","","{0}",,,,,,,,"KG","БРОЙ","1.000000","AL CUT PLATE 6061 T651 40 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 40 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 40 MM"
"293140","587","12606104445PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 44.45 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 44.45 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 44.45 MM"
"293572","1019","24120020020600061500","TEAVA RECTANG. ALU 120X20X2X6000 MM 6060 T6","{32}","6000","120","2.00",,"20","EN AW 6060 T6","","KG","ML","1.468800","ALU RECT. TUBES 120X20X2X6000 MM 6060 T6","KG","y","АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 120X20X2X6000 MM 6060 T6","n","",,,"АЛ. ПРАВОЪГЪЛНИ ТРЪБИ 120X20X2X6000 MM 6060 T6"
"293142","589","12606104500PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 45 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 45 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 45 MM"
"293599","1046","25045002006000061500","TEAVA ALU D 45X2X6000 MM  6060 T6","{34}","6000",,"2.00","45",,"EN AW 6060 T6","","KG","ML","0.729100","ALU ROUND TUBES 45X2X6000 MM 6060 T6","KG","y","АЛ. КРЪГЛИ ТРЪБИ 45X2X6000 MM 6060 T6","n","",,,"АЛ. КРЪГЛИ ТРЪБИ 45X2X6000 MM 6060 T6"
"293144","591","12606105000PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 50 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 50 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 50 MM"
"293145","592","12606105080PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 50.8 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 50.8 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 50.8 MM"
"293485","932","21100050030600061500","CORNIER ALU 100X50X3X6000 MM 6060  T6","{29}","6000","100","3.00",,"50","EN AW 6060 T6","","KG","ML","1.190700","ALU L PROFILES 100X50X3X6000 MM 6060 T6","KG","y","АЛ. L ПРОФИЛИ/ВИНКЕЛИ 100X50X3X6000 MM 6060 T6","n","",,,"АЛ. L ПРОФИЛИ/ВИНКЕЛИ 100X50X3X6000 MM 6060 T6"
"293147","594","12606105500PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 55 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 55 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 55 MM"
"293150","597","12606106000PF","","{0}",,,,,,,,"KG","BUC","1.000000","AL CUT PLATE 6061 T651 60 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 60 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 60 MM"
"293152","599","12606106500PF","","{0}",,,,,,,,"KG","BUC","865.000000","AL CUT PLATE 6061 T651 65 MM","KG","n","АЛ. РЯЗАНА ПЛОЧА 6061 T651 65 MM","n","",,,"АЛ. РЯЗАНА ПЛОЧА 6061 T651 65 MM"
