"appid","pid","product_code","product_name_ro","pid_category","size_length","size_width","size_thickness","size_diameter","size_height","size_alloy","size_type","um1","um2","um1_to_um2","product_name_en","um_base","is_active","additional_info","cu_debitare","aliaj","densitate","size_roll_weight"
"4164","4579","12608201200102020200","TABLA  ALUMINIU 6082 T651  12 MM","{27}",,,"12.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","ALU PLATES 6082 T65 12X1520X3020 MM 1 SIDE PROT. FOIL","KG","y",,"y","6082",,
"4165","4580","12930150100020001340","TABLA AL STRIATA DIAMOND 3003 H224 1.5/2x1000x2000 MM","{23}","2000","1000","1.50",,,"EN AW 3003 H224","","KG","BUC","8.800000","AL. TREAD SHEETS DIAMOND 3003 H224 1.5/2X500X1000 MM","KG","y",,"n",,,
"4166","4581","12050500125025001300","TABLA ALUMINIU 5754 H111 5X1250X2500MM","{19}","2500","1250","5.00",,,"EN AW 5754 H111","","KG","BUC","41.562500","AL. SHEETS 5754 H111 5,0X1250X2500 MM","KG","y",,"n",,,
"24275","10503","LPH00832","HYDRAYLIC HOSE WITH FITTING LPH00832","{0}",,,,,,,,"BUC","","0.000000","","BUC","n","HYDRAYLIC HOSE WITH FITTING LPH00832","n","",,
"4158","4573","11010601000500101540","BANDA  AL 1050 H24 0.6X1000 MM  ~ 105 KG - ISORULO","{18}",,"1000","0.60",,,"EN AW 1050 H24","","KG","M2","1.630000","AL. COILS 1050 H24 0,6X1000 MM 100KG","KG","y",,"n",,,"100"
"18056","70","PALET4","PALET 2000X4000 MM","{1}",,,,,,,"Stocuri","BUC",,,,"BUC","y",,"n",,,
"18057","71","PALET6","PALET 1500X3900 MM","{1}",,,,,,,"Stocuri","BUC",,,,"BUC","y",,"n",,,
"18058","72","PALETIELEMENT","ELEMENT DE PALETI","{1}",,,,,,,"Stocuri","BUC",,,,"BUC","y",,"n",,,
"18059","73","PALETEURO","EURO PALET","{1}",,,,,,,"Stocuri","BUC",,,,"BUC","y",,"n",,,
"24276","10504","LPH00834","HYDRAYLIC HOSE WITH FITTING LPH00834","{0}",,,,,,,,"BUC","","0.000000","","BUC","n","HYDRAYLIC HOSE WITH FITTING LPH00834","n","",,
"24277","10505","42102500700200000440","TABLA CUPRU CU-DHP R240 2.5X700X2000 MM","{0}",,,,,,,,"KG","","0.000000","COPPER SHEETS CU-DHP R240 2.5X700X2000 MM","KG","n","TABLA CUPRU CU-DHP R240 2.5X700X2000 MM","n","",,
"24278","10506","48700670017003002040","BARA LATA BRONZ 67X17X3000 MM CUSN7ZN4PB7-C-GC","{0}",,,,,,,,"KG","","0.000000","BRONZE FLAT BARS 67X12X3000 MM   CUSN7ZN4PB7-C-GC","KG","n","BARA LATA BRONZ 67X17X3000 MM CUSN7ZN4PB7-C-GC","n","",,
"24279","10507","48700820038030002040","BARA LATA BRONZ 82X38X3000 MM CUSN7ZN4PB7-C-GC","{0}",,,,,,,,"KG","","0.000000","BRONZE FLAT BARS 82X38X3000 MM  CUSN7ZN4PB7-C","KG","n","BARA LATA BRONZ 82X38X3000 MM CUSN7ZN4PB7-C-GC","n","",,
"4168","4583","21025025020600061500","CORNIER ALU  25X25X2X6000 MM 6060  T6","{29}","6000","25","2.00",,"25","EN AW 6060 T6","","KG","ML","0.259200","ALU L PROFILES 25X25X2X6000 MM 500-3291 6060 T6","KG","y",,"n",,,
"4172","4587","12050600150030001300","TABLA ALUMINIU 5754 H111 6X1500X3000 MM","{19}","3000","1500","6.00",,,"EN AW 5754 H111","","KG","BUC","71.820000","AL SHEETS 5754 H111 6X1500X3000 MM","KG","y",,"n",,,
"4173","4588","47001200100040001540","BARA LATA CUPRU CU-ETP 1/2 T 120X10X4000 MM R=1","{12}","4000","120","10.00",,,"CU-ETP R250","","KG","ML","10.728000","COPPER FLAT BARS 120X10X4000 MM CU-ETP R250","KG","y",,"n",,,
"4174","4589","12010200100020001540","TABLA ALUMINIU 1050 H24 2X1000X2000 MM","{19}","2000","1000","2.00",,,"EN AW 1050 H24","","KG","BUC","10.800000","AL. SHEETS 1050 H24 2X1000X2000 MM","KG","y",,"n",,,
"4175","4590","120PP50830151540304G","TABLA ALUMINIU DE PRECIZIE 5083 15 MM","{25}",,,"15.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 15 MM","KG","y",,"y","PP5083",,
"4176","4591","1270750202F152030200","TABLA  ALUMINIU 7075 T651 20 MM","{27}",,,"20.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES  7075 T651 20X1520X3020 MM","KG","y",,"y","7075",,
"4177","4592","24080040040600061500","TEAVA RECTANG. ALU 80x40x4x6000 MM 6060  T6","{32}","6000","80","4.00",,"40","EN AW 6060 T6","","KG","ML","2.419200","ALU RECT. TUBES 80X40X4X6000 MM 6060 T6","KG","y",,"n",,,
"4178","4593","1250830102F152030200","TABLA ALUMINIU 5083 H111   10 MM","{27}",,,"10.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","AL. SHEETS 5083 H111 10X1520X3020 MM 2 SIDE PROT. FOIL","KG","y",,"y","5083",,
"4179","4594","1250830252F152030200","TABLA ALUMINIU 5083 H111  25 MM","{27}",,,"25.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 25X1520X3020 MM ","KG","y",,"y","5083",,
"4181","4596","1250830502F152030200","TABLA ALUMINIU 5083 H111  50 MM","{27}",,,"50.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 50X1520X3020 MM","KG","y",,"y","5083",,
"4182","4597","12201701000102020200","TABLA ALUMINIU 2017A T451  10 MM","{27}",,,"10.00",,,"EN AW 2017A T451","","KG","BUC","1.000000","AL PLATES 2017 T451 10 MM","KG","y",,"y","2017",,
"4183","4598","1250830202F152030200","TABLA ALUMINIU 5083 H111  20 MM","{27}",,,"20.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 20X15205X3020 MM BOTH SIDE PROT.FOIL","KG","y",,"y","5083",,
"4184","4599","12050150100020001300","TABLA ALUMINIU 5754  H111 1.5x1000x2000 MM","{19}","2000","1000","1.50",,,"EN AW 5754 H111","","KG","BUC","7.980000","AL. SHEETS 5754  H111 1,5X1000X2000 MM","KG","y",,"n",,,
"4185","4600","47000300100040001540","BARA LATA CUPRU CU-ETP 1/2 T 30X10X4000 MM R=1","{12}","4000","30","10.00",,,"CU-ETP R250","","KG","ML","2.682000","COPPER FLAT BARS 30X10X4000MM CU-ETP R250","KG","y",,"n",,,
"4186","4601","47000800100040000140","BARA LATA CUPRU CU-ETP 1/2 T 80x10X4000 MM R=1","{12}","4000","80","10.00",,,"CU-ETP R250","","KG","ML","7.152000","COPPER FLAT BARS 80X10X4000MM CU-ETP R250","KG","y",,"n",,,
"4187","4602","21030030020600061500","CORNIER ALU 30X30X2X6000  MM 6060  T6","{29}","6000","30","2.00",,"30","EN AW 6060 T6","","KG","ML","0.313200","ALU L PROFILES 30X30X2X6000 MM 500-3292 6060 T6","KG","y",,"n",,,
"4188","4603","12606102500152030200","TABLA ALUMINIU 6061 T651 25 MM","{27}",,,"25.00",,,"EN AW 6061 T651","","KG","BUC","1.000000","AL. PLATES 6061 T651 25X1520X3020 MM - AMS","KG","y",,"y","6061",,
"4190","4605","12010150100020001540","TABLA  ALUMINIU 1050 H24 1.5x1000x2000 MM","{19}","2000","1000","1.50",,,"EN AW 1050 H24","","KG","BUC","8.100000","AL. SHEETS 1050 H24 1.5X1000X2000 MM","KG","y",,"n",,,
"4191","4606","47000300050040001540","BARA LATA CUPRU CU-ETP 1/2 T 30X5X4000 MM R=1","{12}","4000","30","5.00",,,"CU-ETP R250","","KG","ML","1.341000","COPPER FLAT BARS 30X5X4000MM CU-ETP R250","KG","y",,"n",,,
"4192","4607","21040040020600061500","CORNIER ALU  40X40X2X6000 MM 6060  T6","{29}","6000","40","2.00",,"40","EN AW 6060 T6","","KG","ML","0.421200","ALU L PROFILES 40X40X2X6000 MM 500-3293 6060 T6","KG","y",,"n",,,
"4193","4608","12050400100020001300","TABLA ALUMINIU 5754 H111 4X1000X2000 MM","{19}","2000","1000","4.00",,,"EN AW 5754 H111","","KG","BUC","21.280000","AL SHEETS 4X1000X2000 MM 5754 H111","KG","y",,"n",,,
"4194","4609","47001000100040001540","BARA LATA CUPRU CU-ETP 1/2 T 100X10X4000 MM R=1","{12}","4000","100","10.00",,,"CU-ETP R250","","KG","ML","8.940000","COPPER FLAT BARS 100X10X4000 MM CU-ETP R250 ","KG","y",,"n",,,
"4195","4610","47000400100040000144","BARA LATA CUPRU CU-ETP 1/2 T 40X10X4000 MM R=1","{12}","4000","40","10.00",,,"CU-ETP R250","","KG","ML","3.576000","COPPER FLAT BARS 40X10X4000MM CU-ETP R250","KG","y",,"n",,,
"4196","4611","12050500150030001300","TABLA ALUMINIU 5754 H111 5X1500X3000 MM","{19}","3000","1500","5.00",,,"EN AW 5754 H111","","KG","BUC","59.850000","AL. SHEETS 5754 H111 5X1500X3000 MM","KG","y",,"n",,,
"4197","4612","12050300125025001300","TABLA ALUMINIU 5754 H111 3X1250X2500 MM","{19}","2500","1250","3.00",,,"EN AW 5754 H111","","KG","BUC","24.937500","AL. SHEETS  5754 H111 3,0X1250X2500 MM","KG","y",,"n",,,
"4198","4613","21015015015600061500","CORNIER ALU 15X15X1.5X6000 MM 6060  T6","{29}","6000","15","1.50",,"15","EN AW 6060 T6","","KG","ML","0.115400","ALU L PROFILES 15X15X1,5X6000 MM 6060 T6","KG","y",,"n",,,
"4200","4615","47000500100040000140","BARA LATA CUPRU CU-ETP 1/2 T 50X10X4000 MM R=1","{12}","4000","50","10.00",,,"CU-ETP R250","","KG","ML","4.470000","COPPER FLAT BARS 50X10X4000MM CU-ETP R250","KG","y",,"n",,,
"4201","4616","25040002006000061500","TEAVA ALU D 40X2X6000 MM  6060 T6","{34}","6000",,"2.00","40",,"EN AW 6060 T6","","KG","ML","0.644300","ALU ROUND TUBES 40X2X6000 MM 6060 T6","KG","y",,"n",,,
"4202","4617","24060020020600061500","TEAVA RECTANG. ALU 60X20x2x6000 MM 6060  T6","{32}","6000","60","2.00",,"20","EN AW 6060 T6","","KG","ML","0.820800","ALU RECT. TUBES 60X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4170","4585","26120000003000063600","BARA ALU D 120X3000 MM 6082 T6","{36}","3000",,,"120",,"EN AW 6082 T6","","KG","ML","30.520800","ALU ROUND BARS 120X3000 MM 6082 T6","KG","y",,"y",,"2.7000",
"4171","4586","46000080000003000600","BARA CUPRU D8X3000 MM CUPB1P TRAS","{8}","3000",,,"8",,"CUPB1P","","KG",,"1.000000","COPPER ROUND BARS D8X3000 MM CUPB1 DRAWN ","KG","y",,"y",,,
"4189","4604","11010801000500101540","BANDA  AL 1050 H24 0.8X1000 MM  ~105 KG - ISORULO","{18}",,"1000","0.80",,,"EN AW 1050 H24","","KG","M2","2.170000","AL. COILS 1050 H24 0,8X1000 MM 100KG","KG","y",,"n",,,"100"
"4205","4620","48000610000003002040","BARA BRONZ D61X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"61",,"CUSN7ZN4PB7-C-GC","","KG","ML","25.996800","BRONZE ROUND BARS D61X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4207","4622","42101501000200000140","TABLA CUPRU CU-ETP R240 1/2 T 1.5X1000X2000 MM","{67}","2000","1000","1.50",,,"CU-ETP R240","","KG","BUC","26.820000","COPPER SHEETS CU-ETP R240 1.5X1000X2000 MM","KG","y",,"n",,,
"4208","4623","21020020020600061500","CORNIER ALU  20X20X2X6000 MM 6060  T6","{29}","6000","20","2.00",,"20","EN AW 6060 T6","","KG","ML","0.205200","ALU L PROFILES 20X20X2X6000 MM 500-3290 6060 T6","KG","y",,"n",,,
"4209","4624","47000250050040000140","BARA LATA CUPRU CU-ETP 1/2 T 25X5X4000 MM R=1","{12}","4000","25","5.00",,,"CU-ETP R250","","KG","ML","1.117500","COPPER FLAT BARS 25X5X4000 MM CU-ETP R250","KG","y",,"n",,,
"4210","4625","12050500100020001300","TABLA ALUMINIU 5754 H111 5X1000X2000 MM","{19}","2000","1000","5.00",,,"EN AW 5754 H111","","KG","BUC","26.600000","AL. SHEETS 5754 H111 5X1000X2000","KG","y",,"n",,,
"24296","10524","LAMA ZAP","LAMA PT. FREZA ZAPADA","{0}",,,,,,,,"BUC","","0.000000","","BUC","n","LAMA PT. FREZA ZAPADA","n","",,
"4211","4626","36000220000003000240","BARA ALAMA D22X3000 MM CUZN39PB3 R430","{56}","3000",,,"22",,"CUZN39PB3 R430","","KG","ML","3.214300","BRASS ROUND BARS D22X3000 MM CUZN39PB3 R430 ","KG","y",,"y",,,
"4212","4627","1250830302F152030200","TABLA ALUMINIU 5083 H111  30 MM","{27}",,,"30.00",,,"EN AW 5083 H111","","KG","BUC","1.000000","ALU PLATES 5083 H111 30X1520X3020 MM ","KG","y",,"y","5083",,
"4213","4628","120PP50830101540304G","TABLA ALUMINIU DE PRECIZIE 5083 10 MM","{25}",,,"10.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 10 MM","KG","y",,"y","PP5083",,
"4214","4629","12010400100020001540","TABLA ALUMINIU 1050 H24 4x1000x2000 MM","{19}","2000","1000","4.00",,,"EN AW 1050 H24","","KG","BUC","21.600000","AL. SHEETS 1050 H24 4,0X1000X2000 MM","KG","y",,"n",,,
"4215","4630","120PP50830201540304G","TABLA ALUMINIU DE PRECIZIE 5083 20 MM","{25}",,,"20.00",,,"5083","","KG","BUC","1.000000","PREC. MACH. CAST AL PLATE 5083 20 MM","KG","y",,"y","PP5083",,
"4216","4631","25035002006000061500","TEAVA ALU D 35X2X6000 MM  6060 T6","{34}","6000",,"2.00","35",,"EN AW 6060 T6","","KG","ML","0.559500","ALU ROUND TUBES 35X2X6000 MM 6060 T6","KG","y",,"n",,,
"4217","4632","46000400004003000440","BARA PATRATA CUPRU 40X40X3000 MM CU-ETP R250","{10}","3000","40",,,,"CU-ETP R250","","KG","ML","14.304000","COPPER SQUARE BARS 40X40X3000 MM CU-ETP R250","KG","y",,"n",,,
"4218","4633","24080080030600061500","TEAVA PATRATA ALU 80x80x3x6000 MM 6060  T6","{33}","6000","80","3.00",,,"EN AW 6060 T6","","KG","ML","2.494800","ALU SQUARE TUBES 80X80X3X6000 MM 6060 T6","KG","y",,"n",,,
"4220","4635","21040020020600061500","CORNIER ALU  40X20X2X6000 MM 6060  T6","{29}","6000","40","2.00",,"20","EN AW 6060 T6","","KG","ML","0.313200","ALU L PROFILES 40X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4221","4636","12608201500152030200","TABLA  ALUMINIU 6082 T651  15 MM","{27}",,,"15.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","AL. PLATES 15X1520X3020 MM 6082 T651 MM BOTH SIDE PROT.FOIL","KG","y",,"y","6082",,
"4222","4637","1220170402F152030200","TABLA ALUMINIU 2017A T451  40 MM","{27}",,,"40.00",,,"EN AW 2017A T451","","KG","BUC","1.000000","ALU PLATES 2017A 40X1520X3020 ","KG","y",,"y","2017",,
"4223","4638","21060020020600061500","CORNIER ALU  60X20X2X6000 MM 6060  T6","{29}","6000","60","2.00",,"20","EN AW 6060 T6","","KG","ML","0.421200","ALU L PROFILES 60X20X2X6000 MM 6060 T6","KG","y",,"n",,,
"4224","4639","24040040020600061500","TEAVA PATRATA ALU 40x40x2x6000 MM 6060  T6","{33}","6000","40","2.00",,,"EN AW 6060 T6","","KG","ML","0.820800","ALU SQUARE TUBES 40X40X2X6000 MM 500-3296 6060 T6","KG","y",,"n",,,
"4225","4640","25050002006000061500","TEAVA ALU D 50X2X6000 MM  6060 T6","{34}","6000",,"2.00","50",,"EN AW 6060 T6","","KG","ML","0.813900","ALU ROUND TUBES 50X2X6000 MM 6060 T6","KG","y",,"n",,,
"4226","4641","48000710000003002040","BARA BRONZ D71X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"71",,"CUSN7ZN4PB7-C-GC","","KG","ML","35.218900","BRONZE ROUND BARS D71X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4227","4642","36000160006003000240","BARA HEXAG ALAMA 16X3000 MM CUZN39PB3 R430","{58}","3000",,,,"16","CUZN39PB3 R430","","KG","ML","1.875500","BRASS HEXAG BARS 16X3000 MM CUZN39PB3 R430","KG","y",,"n",,,
"4228","4643","120PP508300615203020","TABLA ALUMINIU DE PRECIZIE  5083 6 MM","{25}",,,"6.00",,,"5083","","KG","BUC","73.270000","PREC. MACH. CAST AL PLATE 5083 6 MM","KG","y",,"y","PP5083",,
"4229","4644","12010070100020001540","TABLA ALUMINIU 1050 H24  0.7x1000x2000 MM","{19}","2000","1000","0.70",,,"EN AW 1050 H24","","KG","BUC","3.780000","AL. SHEETS 1050 H24 0,7X1000X2000 MM","KG","y",,"n",,,
"4230","4645","21040040040600061500","CORNIER ALU 40X40X4X6000 MM 6060  T6","{29}","6000","40","4.00",,"40","EN AW 6060 T6","","KG","ML","0.820800","ALU L PROFILES 40X40X4X6000 MM 6060 T6","KG","y",,"n",,,
"4231","4646","21025025030600061500","CORNIER ALU 25X25X3X6000 MM 6060  T6","{29}","6000","25","3.00",,"25","EN AW 6060 T6","","KG","ML","0.380700","ALU L PROFILES 25X25X3X6000 MM 6060 T6","KG","y",,"n",,,
"4233","4648","12050400100020001320","TABLA ALUMINIU  5754 H22 4x1000x2000 MM","{19}","2000","1000","4.00",,,"EN AW 5754 H22","","KG","BUC","21.280000","AL. SHEETS 5754 H22 4,0X1000X2000 MM","KG","y",,"n",,,
"4234","4649","12707511000152030200","TABLA  ALUMINIU 7075  T651 110 MM","{27}",,,"110.00",,,"EN AW 7075 T651","","KG","BUC","1.000000","ALU PLATES 7075 T651 110X1520X3020 MM","KG","y",,"y","7075",,
"4236","4651","48000560000003002040","BARA BRONZ D56X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"56",,"CUSN7ZN4PB7-C-GC","","KG","ML","21.909700","BRONZE ROUND BARS D56X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4237","4652","48000310000003002040","BARA BRONZ D31X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"31",,"CUSN7ZN4PB7-C-GC","","KG","ML","6.714000","BRONZE ROUND BARS D31X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4238","4653","25050005006000061500","TEAVA ALU D 50X5X6000 MM  6060 T6","{34}","6000",,"5.00","50",,"EN AW 6060 T6","","KG","ML","1.907600","ALU ROUND TUBES 50X5X6000 MM 6060 T6","KG","y",,"n",,,
"4239","4654","1260820352F152030200","TABLA  ALUMINIU 6082 T651  35 MM","{27}",,,"35.00",,,"EN AW 6082 T651","","KG","BUC","1.000000","AL. PLATES 6082 T651 35X1520X3020 MM ","KG","y",,"y","6082",,
"4241","4656","48000210000003002040","BARA BRONZ D21X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"21",,"CUSN7ZN4PB7-C-GC","","KG","ML","3.081000","BRONZE ROUND BARS D21X3000 MM CUSN7ZN4PB7-C-GC","KG","y",,"y",,,
"4242","4657","48000660000003002040","BARA BRONZ D66X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"66",,"CUSN7ZN4PB7-C-GC","","KG","ML","30.433200","BRONZE ROUND BARS D66X3000 MM CUSN7ZN4PB7-C ","KG","y",,"y",,,
"290817","4655","48000810000003002040","BARA BRONZ D81X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"81",,"CUSN7ZN4PB7-C-GC","","KG","ML","45.838400","BRONZE ROUND BARS D81X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4243","4658","12050300150030001300","TABLA ALUMINIU  5754 H111 3X1500X3000 MM","{19}","3000","1500","3.00",,,"EN AW 5754 H111","","KG","BUC","35.910000","AL. SHEETS 3X1500X3000 MM 5754 H111","KG","y",,"n",,,
"4244","4659","48000910000003002040","BARA BRONZ D91X3000 MM CUSN7ZN4PB7-C-GC","{7}","3000",,,"91",,"CUSN7ZN4PB7-C-GC","","KG","ML","57.855200","BRONZE ROUND BARS D91X3000 MM CUSN7ZN4PB7-C","KG","y",,"y",,,
"4246","4661","21060040020600061500","CORNIER ALU  60X40X2X6000 MM 6060  T6","{29}","6000","60","2.00",,"40","EN AW 6060 T6","","KG","ML","0.529200","ALU L PROFILES 60X40X2X6000 MM 6060 T6","KG","y",,"n",,,
"4247","4662","46000300000004000440","BARA CUPRU D30X4000 MM CU-ETP R250","{8}","4000",,,"30",,"CU-ETP R250","","KG","ML","6.316100","COPPER ROUND BARS D30X4000 MM CU-ETP R250 DRAWN","KG","y",,"y",,,
